ms_file,peak_label,value,pred_conc,in_range
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00001_SG1__BlankPre1,Acetoacetate,38769.5625,0.28340334068477113,1.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00002_SG1__BlankPre2,Acetoacetate,5523.935546875,0.04037966091858102,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00003_SG1__BlankPre3,Acetoacetate,4875.49267578125,0.03563957967801519,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00004_SG1__BlankPre4,Acetoacetate,5282.08544921875,0.03861175018652879,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00005_A12__Std1,Acetoacetate,8921.1689453125,0.0652132476840511,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00006_B12__Std2,Acetoacetate,18860.00390625,0.13786557721302845,1.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00007_C12__Std3,Acetoacetate,76460.1875,0.558919708389384,1.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00008_D12__Std4,Acetoacetate,304595.28125,2.226574526423076,1.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00009_E12__Std5,Acetoacetate,1186027.0,8.669791255507135,1.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00010_F12__Std6,Acetoacetate,3938700.25,28.79167926658813,1.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00011_G12__Std7,Acetoacetate,11210256.0,81.9463464497826,1.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00012_H12__Std8,Acetoacetate,28860870.0,210.97135086497,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00013_SG1__BlankMid5,Acetoacetate,12212.1201171875,0.08926991729799992,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00014_SG1__BlankMid6,Acetoacetate,6250.4482421875,0.04569042822222187,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00015_SG1__BlankMid7,Acetoacetate,4685.927734375,0.034253870523540085,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00016_A01__ATCC_25923,Acetoacetate,16641.666015625,0.12164965089271638,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00017_A02__BI_17_1412,Acetoacetate,13363.9482421875,0.09768971668365643,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00018_A03__BI_17_1417,Acetoacetate,14495.623046875,0.10596219642126568,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00019_A04__BI_17_1419,Acetoacetate,10665.2626953125,0.07796247577290127,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00020_A05__BI_17_1424,Acetoacetate,10024.708984375,0.07328006385330026,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00021_A06__BI_17_1427,Acetoacetate,12111.1201171875,0.08853161292819534,0.0
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00022_A07__BI_17_1432,Acetoacetate,14402.4755859375,0.10528129367427205,0.0
